Company Name,Industry,Round/Series,Amount,Location,About Company
TheCollegeFever,"Brand Marketing, Event Promotion, Marketing, Sponsorship, Ticketing",Seed,250000,"Bangalore, Karnataka, India","TheCollegeFever is a hub for fun, fiesta and frolic of Colleges."
Happy Cow Dairy,"Agriculture, Farming",Seed,"₹40,000,000","Mumbai, Maharashtra, India",A startup which aggregates milk from dairy farmers in rural Maharashtra.
MyLoanCare,"Credit, Financial Services, Lending, Marketplace",Series A,"₹65,000,000","Gurgaon, Haryana, India",Leading Online Loans Marketplace in India
PayMe India,"Financial Services, FinTech",Angel,2000000,"Noida, Uttar Pradesh, India",PayMe India is an innovative FinTech organization which offers short term financial suport to corporate employees.
Eunimart,"E-Commerce Platforms, Retail, SaaS",Seed,—,"Hyderabad, Andhra Pradesh, India",Eunimart is a one stop solution for merchants to create a difference by selling globally.
Hasura,"Cloud Infrastructure, PaaS, SaaS",Seed,1600000,"Bengaluru, Karnataka, India","Hasura is a platform that allows developers to build, deploy, and host cloud-native applications quickly."
Tripshelf,"Internet, Leisure, Marketplace",Seed,"₹16,000,000","Kalkaji, Delhi, India",Tripshelf is an online market place for holiday packages.
Hyperdata.IO,Market Research,Angel,"₹50,000,000","Hyderabad, Andhra Pradesh, India",Hyperdata combines advanced machine learning with human intelligence.
Freightwalla,"Information Services, Information Technology",Seed,—,"Mumbai, Maharashtra, India",Freightwalla is an international forwarder thats helps you manage supply chain by providing online tools including instant quotations.
Microchip Payments,Mobile Payments,Seed,—,"Bangalore, Karnataka, India",Microchip payments is a mobile-based payment application and point-of-sale device
BizCrum Infotech Pvt. Ltd.,"B2B, Shoes",Seed,—,"Delhi, Delhi, India",Building Transactionary B2B Marketplaces
Emojifi,Internet,Seed,—,"Bengaluru, Karnataka, India","Emojifi is an app that provides live emoji, stickers & GIFs suggestions based on the typed words across chat platforms."
Flock,"Apps, Collaboration, Developer Platform, Enterprise Software, Messaging, Productivity Tools, Video Chat",Seed,—,"India, Asia",Flock is a real-time messaging and collaboration app for teams that speeds up and simplifies communication and boosts productivity.
Freshboxx,Food Delivery,Seed,—,"Hubli, Karnataka, India","Freshboxx is incubated at Sandbox Startups, a unit of the Deshpande Foundation."
Wide Mobility Mechatronics,Industrial Automation,Seed,—,"Bangalore, Karnataka, India",Wide Mobility Mechatronics is a Private Company limited by Shares
Pitstop,"Automotive, Search Engine, Service Industry",Seed,"₹100,000,000","Bengaluru, Karnataka, India",Pitstop offers general repair and maintenance services for cars through its doorstep service vehicles.
Mihuru,"Finance, Internet, Travel",Seed,150000,"Mumbai, Maharashtra, India",Mihuru is an online platform which gives micro loans for air travel .
Fyle,"Accounting, Business Information Systems, Business Travel, Finance, SaaS",Seed,1100000,"Bengaluru, Karnataka, India",Fyle is an intelligent expense management platform for enterprises.
AppWharf,"Artificial Intelligence, Product Search, SaaS, Service Industry, Software",Seed,—,"New Delhi, Delhi, India",Appwharf is an intelligent assistant that helps find you the best-fit SaaS for your business.
Antariksh Waste Ventures Pvt ltd,"Internet of Things, Waste Management",Seed,"₹500,000","Chennai, Tamil Nadu, India",Waste Management for Smart Cities
Cogoport,"Air Transportation, Freight Service, Logistics, Marine Transportation",Series A,6000000,"Mumbai, Maharashtra, India",Cogoport is a platform that provides freight buying industry with spot rates and bidding process for freight buyers.
PaisaDukan,Financial Services,Seed,650000,"Mumbai, Maharashtra, India",A P2P lending marketplace platform
Sleepy Owl Coffee,Food and Beverage,Seed,"₹35,000,000","New Delhi, Delhi, India","Makers of a signature coffee that's exceptional in taste. It's super easy to brew, requires no equipment & ships to your door."
BlueJack,Autonomous Vehicles,Seed,"₹64,000,000","Delhi, Delhi, India",Delhi-based online used vehicles marketplace.
PregBuddy,"Enterprise Software, Health Care, Hospital, Parenting, Personal Health, SaaS",Seed,—,"Bengaluru, Karnataka, India",PregBuddy is a smart connected care platform for expecting mothers.
AgNext Technologies,"Agriculture, Analytics, Big Data, Farming",Series A,—,"Mohali, Punjab, India",AgNext is an agricultural sensing and solutions company focused on building data-driven solutions for agricultural stakeholders
Pando,"Logistics, Supply Chain Management",Seed,2000000,"Chennai, Tamil Nadu, India",A startup which digitizes logistics operations for Fortune 500 companies.
Mintifi,"Financial Services, Lending",Seed,2000000,"Mumbai, Maharashtra, India",Online lending startup based in Mumbai.
Carcrew,"Automotive, Marketplace, Online Portals",Seed,2000000,"Mumbai, Maharashtra, India",India's Online Auto Repair Marketplace
NicheAI,Artificial Intelligence,Angel,—,"Hyderabad, Andhra Pradesh, India",Early stage Artificial Intelligence (AI) start up.
Chariot Tech,"Internet of Things, Telecommunications",Seed,"₹20,000,000","New Delhi, Delhi, India",Chariot Tech is an Internet of Things (IoT) startup based in New Delhi.
Ideal Insurance Brokers/ 121Policy.com,Insurance,Seed,1000000,"Kolkata, West Bengal, India",Ideal Insurance Broking is one of the leaders in insurance broking domain.
Loanzen,Financial Services,Seed,—,"Bangalore, Karnataka, India",Loanzen helps small businesses get unsecured working capital loans against their their pending invoices.
Mojro Technologies,"Information Technology, Logistics, Supply Chain Management",Seed,650000,"Bengaluru, Karnataka, India",Mojro envisions to be the world's largest technology-enabled logistics platform.
Elemential,"Blockchain, Developer Tools, Enterprise Software",Seed,1000000,"Mumbai, Maharashtra, India","Blockchain Development Platform To Design, Run & Scale Blockchain Networks."
Loadshare,"Industrial Automation, Logistics, Supply Chain Management",Series A,5000000,"Bengaluru, Karnataka, India",LoadShare is India’s fastest growing logistics company
Yumlane,"Food and Beverage, Food Delivery, Snack Food",Series A,4000000,"Mumbai, Maharashtra, India",Food startup Yumlane operated by QwikPik Technology
Kriger Campus,Education,Seed,"₹30,000,000","New Delhi, Delhi, India",A Education Start Up.
Pipa+Bella,"E-Commerce, Fashion, Jewelry, Retail",Series A,1000000,"Mumbai, Maharashtra, India",Pipa+Bella is an online store aimed at selling fashionable and affordable costume jewelry at par with international standards and trends
Kaleidofin,Financial Services,Seed,2800000,"Chennai, Tamil Nadu, India",A fintech platform.
Chakr Innovation,Renewable Energy,Seed,—,"New Delhi, Delhi, India",Chakr has developed the world’s first retro-fit emission control device for diesel generators.
IndigoLearn,"E-Learning, Education",Seed,150000,"Hyderabad, Andhra Pradesh, India",India's the premier education destination catering to the needs of aspiring students of the CA community.
UClean,"Clean Energy, CleanTech, Laundry and Dry-cleaning",Seed,"₹40,000,000","India, Asia",UClean is a tech enabled laundry service provider.
Coutloot,"E-Commerce, Fashion, Mobile",Seed,1000000,"Mumbai, Maharashtra, India",The Fashion Re-commerce platform.
